נתוני מסחר - ניירות ערך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מס' ני''ע,סוג ני''ע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלבר      אגח כ,1191832,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלבר     אגח יז,1158732,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלבר     אגח יח,1158740,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלבר     אגח יט,1191824,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלבר     אגח כא,1216027,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלבר     אגח כב,1216035,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלדן תחבו אגח ו,1161678,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלדן תחבו אגח ז,1184779,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלדן תחבו אגח ח,1192442,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלדן תחבו אגח ט,1192459,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלדן תחבו אגח י,1225283,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלדן תחבו אגחיא,1225291,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלדן תחבורה,1134881, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה  השק  אגח א,1189950,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה פקדון אגח ה,1162577,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה פקדון אגח ו,1189398,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה פקדון אגח ט,1197045,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה פקדון אגח י,1210384,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה פקדון אגחיא,1213453,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה פקדון אגחיב,1217173,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוט,1099654, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומה      אג 1,1238518, איגרות חוב להמרה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומה     אגח ב,1219443,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומה     אופ 1,1190925, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומה תשתיות,1181643, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומיי,1082635, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומיי     אפ 2,1203082, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומיי    אגח ה,1193275,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומיי    אגח ו,1203074,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומיי    אגח ז,1217538,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלומיי  אג ד,1172956, איגרות חוב להמרה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלון רבוע אגח ו,1169127,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלון רבוע אגח ז,1183979,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלון רבוע אגח ח,1197276,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלון רבוע אגח ט,1197284,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ,390013, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ  אגח ט,3900354,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ  אגח י,3900362,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ אגח טו,1189414,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ אגח טז,1229384,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ אגח יא,3900487,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ אגח יב,3900495,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ אגח יג,1189406,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלוני חץ אגח יז,1229392,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלטיטיוד  אגח ב,1207604,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלטשולר שחם פנ,1184936, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמדה יהש,1168962,יחידת השתתפות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמוג     אגח א,1223320,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמוגים,1136829, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמוגים   אגח ט,1189224,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמוגים   אגח י,1201615,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמוגים  אגח יא,1211358,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמוגים  אגח יב,1217892,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמור חשמל,1142454, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלספק,1090364, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלעד יואס אגח א,1237171,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלעד תוכנה,1217702, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקו,694034, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקו     אגח יג,6940233,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקו     אגח יד,1207752,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרה,739037, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרה    אגח ד,7390149,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרה    אגח ה,7390222,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרה    אגח ו,7390263,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרה נדלן,1094044, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרה צר אגח א,5010335,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרה צריכה,5010129, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרהנדלן אגחו,1174564,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטרהנדלן אגחז,1203553,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקטריאון,368019, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלרוב נדלן,387019, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלרוב נדלן אגחה,3870169,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלרוב נדלן אגחו,3870185,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלרוב נדלן אגחז,1207471,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלרון,749077, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמ אר אר  אגח ב,1184696,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמ.די.ג'י אגח ד,1184308,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמ.די.ג'י אגח ז,1209170,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמ.די.ג'י אגח ח,1211655,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמ.די.ג'י אגח ט,1215243,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמ.די.ג'י אגח י,1218023,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמ.די.ג'י אגחיא,1234327,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמות,1097278, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמות      אגח ד,1133149,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמות      אגח ו,1158609,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמות      אגח ז,1162866,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמות      אגח ח,1172782,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמות      אגח ט,1204999,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמות      אגח י,1205004,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמות      אפ 12,1225036, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמטראסט   אגח א,1229129,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמטראסט   אגח ב,1231943,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמיליה פיתוח,589010, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
